avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
123861.0,34446.6,04000US01,1107,307.219,1,152031,2016
71800.4,9685.5,04000US01,681,280.279,2,152031,2016
71886.0,12172.6,04000US01,215,138.469,1,1520XX,2016
61528.4,18120.8,04000US01,128,97.3696,2,1520XX,2016
127096.0,25463.3,04000US01,818,215.091,1,171010,2016
58758.1,13576.2,04000US01,294,144.162,2,171010,2016
61167.1,22777.6,04000US01,580,178.564,1,171020,2016
37024.2,14705.3,04000US01,139,83.8547,2,171020,2016
98611.2,8157.16,04000US01,2605,467.535,1,172011,2016
99589.1,12362.8,04000US01,321,142.888,2,172011,2016
80720.8,16952.3,04000US01,646,271.957,1,172041,2016
85549.6,30239.8,04000US01,87,55.2766,2,172041,2016
102092.0,9803.58,04000US01,5422,784.233,1,172051,2016
80913.4,10230.9,04000US01,1002,346.467,2,172051,2016
77038.2,15878.2,04000US01,488,208.725,1,172061,2016
90682.9,9.27111e-12,04000US01,46,71.5376,2,172061,2016
100187.0,12518.0,04000US01,2333,418.918,1,172070,2016
91826.3,11870.0,04000US01,455,209.497,2,172070,2016
86147.3,13540.7,04000US01,256,121.16,1,172081,2016
25164.2,27791.0,04000US01,166,187.944,2,172081,2016
46030.2,4404.04,04000US01,80,78.301,1,1720XX,2016
33793.0,0.0,04000US01,29,51.7116,2,1720XX,2016
81013.1,5686.16,04000US01,2833,543.503,1,172110,2016
57117.2,10637.7,04000US01,599,355.525,2,172110,2016
96204.1,28383.5,04000US01,167,151.825,1,172121,2016
76510.5,5320.7,04000US01,608,223.018,1,172131,2016
45464.0,32928.7,04000US01,36,33.5838,2,172131,2016
75428.3,7859.68,04000US01,2763,534.437,1,172141,2016
64551.4,14318.3,04000US01,214,135.501,2,172141,2016
181602.0,37931.3,04000US01,174,111.466,1,1721XX,2016
12672.4,0.0,04000US01,3,5.44343,2,1721XX,2016
94281.3,4473.59,04000US01,7248,787.074,1,1721YY,2016
88917.5,10178.3,04000US01,1319,363.495,2,1721YY,2016
53230.9,4480.12,04000US01,1473,366.693,1,173010,2016
45940.7,10145.8,04000US01,511,207.735,2,173010,2016
62184.4,3922.22,04000US01,5061,705.646,1,173020,2016
46098.6,6502.09,04000US01,859,246.522,2,173020,2016
44632.7,6761.92,04000US01,859,277.864,1,173031,2016
37927.1,5300.69,04000US01,136,108.968,2,173031,2016
64050.2,33209.7,04000US01,12,14.9912,1,191010,2016
37826.7,0.0,04000US01,4,7.68058,2,191010,2016
