avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
50039.8,936.55,01000US,47051,2405.49,2,211092,2016
44435.6,1895.67,01000US,37919,1573.08,1,211093,2016
39114.5,611.96,01000US,127080,3008.31,2,211093,2016
56426.1,2482.43,01000US,31922,1721.7,1,21109X,2016
44514.8,954.825,01000US,62554,2237.01,2,21109X,2016
49587.1,434.907,01000US,345871,5377.69,1,212011,2016
42620.2,845.913,01000US,81348,2332.43,2,212011,2016
55177.4,2808.22,01000US,23857,1282.75,1,212021,2016
41782.1,1316.9,01000US,39989,1823.66,2,212021,2016
43430.3,1370.74,01000US,29697,1625.15,1,212099,2016
36480.1,1309.04,01000US,44723,2216.5,2,212099,2016
68406.1,6341.36,01000US,8396,893.984,1,231012,2016
62870.6,5276.58,01000US,10010,749.159,2,231012,2016
176438.0,1608.5,01000US,588275,6351.58,1,2310XX,2016
129712.0,1841.8,01000US,358327,5294.15,2,2310XX,2016
61992.6,2728.06,01000US,60326,2278.98,1,232011,2016
51463.7,606.117,01000US,327540,4493.32,2,232011,2016
78707.2,3554.0,01000US,44566,2024.52,1,232090,2016
53359.6,1101.86,01000US,120755,2798.79,2,232090,2016
82760.6,836.138,01000US,748002,9835.65,1,251000,2016
63576.2,512.377,01000US,727615,7915.23,2,251000,2016
34623.8,2660.27,01000US,13847,1110.94,1,252010,2016
28275.0,302.155,01000US,547262,6936.09,2,252010,2016
56014.9,287.444,01000US,740236,8606.95,1,252020,2016
50560.2,119.498,01000US,2787323,21213.1,2,252020,2016
57667.5,467.83,01000US,327858,5400.77,1,252030,2016
52899.8,336.749,01000US,449639,7014.19,2,252030,2016
50410.0,1429.77,01000US,37567,2276.3,1,252050,2016
48360.9,391.189,01000US,219544,4582.83,2,252050,2016
56645.6,868.051,01000US,308491,5712.7,1,253000,2016
42522.8,553.627,01000US,448038,6142.48,2,253000,2016
62810.3,2451.89,01000US,17003,1126.67,1,254010,2016
50980.1,2209.43,01000US,29769,1480.56,2,254010,2016
57924.9,1333.42,01000US,30785,1574.3,1,254021,2016
51143.8,564.499,01000US,144710,3644.16,2,254021,2016
43948.7,4117.63,01000US,12792,985.676,1,254031,2016
33638.3,2145.82,01000US,38028,1561.9,2,254031,2016
31959.4,965.372,01000US,111980,3437.98,1,259041,2016
23640.5,248.921,01000US,889665,8665.89,2,259041,2016
61211.2,2206.54,01000US,33963,1554.38,1,2590XX,2016
53097.0,934.703,01000US,86282,2704.27,2,2590XX,2016
68883.4,1814.47,01000US,70115,2818.59,1,271010,2016
53894.2,2600.05,01000US,47633,1702.91,2,271010,2016
67321.9,874.359,01000US,341286,5477.79,1,271020,2016
