avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
79827.4,16923.0,04000US53,317,129.406,2,193051,2014
43318.3,15900.8,04000US53,291,99.9085,1,194011,2014
40296.2,7098.79,04000US53,394,180.578,2,194011,2014
44813.9,6076.66,04000US53,388,172.109,1,194021,2014
38529.1,9464.01,04000US53,378,140.047,2,194021,2014
51310.1,4197.46,04000US53,6049,693.002,1,211010,2014
46442.3,1921.32,04000US53,11536,923.614,2,211010,2014
49047.8,2800.14,04000US53,3622,602.116,1,211020,2014
45122.7,1662.5,04000US53,11272,880.349,2,211020,2014
61787.1,4173.23,04000US53,733,225.049,1,211092,2014
55943.7,6178.08,04000US53,890,257.748,2,211092,2014
45354.8,9912.94,04000US53,691,267.525,1,211093,2014
41149.1,4261.32,04000US53,2317,422.48,2,211093,2014
53761.4,3323.14,04000US53,7082,656.157,1,212011,2014
42723.5,3737.47,04000US53,2070,330.005,2,212011,2014
59171.8,13132.6,04000US53,602,265.861,1,212021,2014
45042.6,8268.86,04000US53,776,236.679,2,212021,2014
43899.7,8661.24,04000US53,550,217.487,1,212099,2014
47803.2,8394.42,04000US53,1027,305.654,2,212099,2014
44395.8,22330.6,04000US53,103,75.5734,1,231012,2014
52563.0,19949.3,04000US53,198,102.304,2,231012,2014
64186.8,10967.3,04000US53,941,311.622,1,232011,2014
50982.5,2453.03,04000US53,8487,736.779,2,232011,2014
74121.9,21669.6,04000US53,1009,281.541,1,232090,2014
52846.8,5689.12,04000US53,3130,580.465,2,232090,2014
72345.5,4173.4,04000US53,14139,1150.11,1,251000,2014
58735.4,3180.58,04000US53,14743,1053.58,2,251000,2014
33594.8,8862.0,04000US53,328,147.295,1,252010,2014
29487.0,1666.21,04000US53,10301,779.681,2,252010,2014
59913.8,1283.58,04000US53,15179,945.781,1,252020,2014
51683.4,807.826,04000US53,48187,1632.72,2,252020,2014
59868.9,2162.99,04000US53,6220,719.853,1,252030,2014
52739.1,2045.91,04000US53,6729,701.852,2,252030,2014
55316.7,7386.59,04000US53,536,204.084,1,252050,2014
51273.0,4278.62,04000US53,3668,530.582,2,252050,2014
60136.8,4360.49,04000US53,6871,739.611,1,253000,2014
41702.1,6203.05,04000US53,10428,897.453,2,253000,2014
65496.9,13670.0,04000US53,392,161.382,1,254010,2014
40232.4,8228.85,04000US53,504,171.387,2,254010,2014
72044.6,7572.85,04000US53,546,190.241,1,254021,2014
58241.9,5028.54,04000US53,3156,501.617,2,254021,2014
72817.8,53474.4,04000US53,256,128.684,1,254031,2014
38841.5,6235.48,04000US53,1553,380.872,2,254031,2014
29648.4,4535.43,04000US53,1806,392.641,1,259041,2014
22207.1,1322.62,04000US53,20019,1139.33,2,259041,2014
76650.3,12996.2,04000US53,1871,353.78,1,271010,2014
42490.1,7610.47,04000US53,1089,278.657,2,271010,2014
66338.5,4849.26,04000US53,7734,705.959,1,271020,2014
47836.0,3448.5,04000US53,7828,757.194,2,271020,2014
39045.1,39494.6,04000US53,181,144.427,1,272011,2014
14104.3,9515.94,04000US53,288,197.579,2,272011,2014
68182.1,8018.54,04000US53,1561,376.329,1,272012,2014
62169.7,7975.76,04000US53,659,220.894,2,272012,2014
92366.0,38475.9,04000US53,2686,486.378,1,272020,2014
42375.5,11018.2,04000US53,2860,491.507,2,272020,2014
24850.4,12184.7,04000US53,227,151.808,2,272030,2014
57302.0,16323.3,04000US53,1411,360.678,1,272040,2014
40184.6,9901.15,04000US53,1141,274.142,2,272040,2014
72251.5,22161.7,04000US53,208,121.39,1,272099,2014
52546.7,14680.2,04000US53,75,54.5808,2,272099,2014
47238.1,15320.8,04000US53,604,233.199,1,273010,2014
38125.6,17148.1,04000US53,165,104.36,2,273010,2014
57237.7,8577.86,04000US53,712,241.487,1,273020,2014
57447.9,13022.1,04000US53,474,183.633,2,273020,2014
81336.3,12653.0,04000US53,878,238.297,1,273031,2014
78603.6,17440.3,04000US53,1806,389.574,2,273031,2014
57743.9,7995.64,04000US53,1936,360.082,1,273041,2014
55605.3,6937.37,04000US53,2067,426.409,2,273041,2014
77240.1,12483.5,04000US53,850,275.703,1,273042,2014
63902.4,8714.44,04000US53,920,313.589,2,273042,2014
71720.7,14931.9,04000US53,1515,341.648,1,273043,2014
66219.4,9965.57,04000US53,2187,437.382,2,273043,2014
70115.1,27882.2,04000US53,825,299.386,1,273090,2014
38869.1,5253.28,04000US53,1985,374.827,2,273090,2014
52506.9,12278.1,04000US53,1072,336.979,1,274021,2014
46016.5,7720.04,04000US53,1330,369.685,2,274021,2014
58112.0,14670.6,04000US53,622,177.925,1,274030,2014
53340.2,65131.4,04000US53,55,57.4032,2,274030,2014
96267.9,27130.0,04000US53,1178,360.528,1,291011,2014
71471.6,24459.1,04000US53,246,178.01,2,291011,2014
204194.0,22763.3,04000US53,2203,388.448,1,291020,2014
131339.0,47395.1,04000US53,698,206.259,2,291020,2014
101613.0,40131.7,04000US53,169,157.706,1,291031,2014
51177.5,7928.02,04000US53,1720,310.825,2,291031,2014
145614.0,34782.2,04000US53,718,236.482,1,291041,2014
75791.5,31298.8,04000US53,336,201.603,2,291041,2014
109692.0,6694.38,04000US53,2581,458.16,1,291051,2014
102054.0,8505.27,04000US53,3568,500.341,2,291051,2014
238614.0,10947.6,04000US53,12403,985.783,1,291060,2014
166297.0,11857.8,04000US53,7144,712.118,2,291060,2014
84056.8,13556.5,04000US53,887,296.423,1,291071,2014
83549.6,11377.0,04000US53,1611,324.347,2,291071,2014
179238.0,84849.5,04000US53,113,82.213,1,291081,2014
97539.4,53721.5,04000US53,39,44.3937,2,291081,2014
81389.7,5942.98,04000US53,265,114.371,1,291122,2014
62277.1,6496.08,04000US53,1513,326.09,2,291122,2014
90133.2,13662.9,04000US53,1239,328.488,1,291123,2014
64957.8,4862.28,04000US53,4047,601.994,2,291123,2014
89064.1,18687.4,04000US53,244,199.433,1,291124,2014
90076.1,10185.0,04000US53,207,124.193,2,291124,2014
68599.1,0.0,04000US53,16,29.0355,1,291125,2014
38929.0,5710.03,04000US53,52,50.7183,2,291125,2014
67034.4,3861.1,04000US53,702,222.196,1,291126,2014
56801.5,7389.98,04000US53,1169,286.754,2,291126,2014
81300.9,16069.1,04000US53,101,112.118,1,291127,2014
59993.4,6064.86,04000US53,2507,391.706,2,291127,2014
112735.0,37422.9,04000US53,689,250.355,1,291131,2014
73566.6,8394.8,04000US53,1163,264.976,2,291131,2014
75180.2,5770.38,04000US53,7440,832.304,1,291141,2014
71158.0,1619.98,04000US53,49066,1901.29,2,291141,2014
152780.0,58272.2,04000US53,197,108.918,1,291151,2014
163438.0,33026.0,04000US53,264,108.447,2,291151,2014
89962.8,10158.4,04000US53,127,99.5952,1,291181,2014
77116.0,19399.2,04000US53,341,159.926,2,291181,2014
72716.3,45219.0,04000US53,332,156.575,1,291199,2014
66538.2,27404.6,04000US53,420,192.662,2,291199,2014
59253.5,7411.58,04000US53,2241,421.637,1,292010,2014
52654.0,4017.48,04000US53,5740,708.967,2,292010,2014
66463.9,9651.42,04000US53,148,79.1688,1,292021,2014
65492.4,5610.55,04000US53,4418,554.463,2,292021,2014
80742.8,8273.55,04000US53,2329,413.567,1,292030,2014
