soc_name,soc,soc_cat
"Textile knitting & weaving machine setters, operators, & tenders",516063,51
"Textile knitting & weaving machine setters, operators, & tenders",516063,51
"Textile winding, twisting, & drawing out machine setters, operators, & tenders",516064,51
"Textile winding, twisting, & drawing out machine setters, operators, & tenders",516064,51
Upholsterers,516093,51
Upholsterers,516093,51
Cabinetmakers & bench carpenters,517011,51
Cabinetmakers & bench carpenters,517011,51
Furniture finishers,517021,51
Furniture finishers,517021,51
"Sawing machine setters, operators, & tenders, wood",517041,51
"Sawing machine setters, operators, & tenders, wood",517041,51
"Woodworking machine setters, operators, & tenders, except sawing",517042,51
"Woodworking machine setters, operators, & tenders, except sawing",517042,51
"Power plant operators, distributors, & dispatchers",518010,51
"Power plant operators, distributors, & dispatchers",518010,51
Stationary engineers & boiler operators,518021,51
Stationary engineers & boiler operators,518021,51
Water & wastewater treatment plant & system operators,518031,51
Water & wastewater treatment plant & system operators,518031,51
Miscellaneous plant & system operators,518090,51
Miscellaneous plant & system operators,518090,51
"Chemical processing machine setters, operators, & tenders",519010,51
"Chemical processing machine setters, operators, & tenders",519010,51
"Crushing, grinding, polishing, mixing, & blending workers",519020,51
"Crushing, grinding, polishing, mixing, & blending workers",519020,51
Cutting workers,519030,51
Cutting workers,519030,51
"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",519041,51
"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",519041,51
"Furnace, kiln, oven, drier, & kettle operators & tenders",519051,51
"Furnace, kiln, oven, drier, & kettle operators & tenders",519051,51
"Inspectors, testers, sorters, samplers, & weighers",519061,51
"Inspectors, testers, sorters, samplers, & weighers",519061,51
Jewelers & precious stone & metal workers,519071,51
Jewelers & precious stone & metal workers,519071,51
"Medical, dental, & ophthalmic laboratory technicians",519080,51
"Medical, dental, & ophthalmic laboratory technicians",519080,51
Packaging & filling machine operators & tenders,519111,51
Packaging & filling machine operators & tenders,519111,51
Painting workers,519120,51
Painting workers,519120,51
Photographic process workers & processing machine operators,519151,51
Photographic process workers & processing machine operators,519151,51
Adhesive bonding machine operators & tenders,519191,51
Adhesive bonding machine operators & tenders,519191,51
Etchers & engravers,519194,51
Etchers & engravers,519194,51
"Molders, shapers, & casters, except metal & plastic",519195,51
"Molders, shapers, & casters, except metal & plastic",519195,51
"Paper goods machine setters, operators, & tenders",519196,51
"Paper goods machine setters, operators, & tenders",519196,51
Tire builders,519197,51
Tire builders,519197,51
Helpersproduction workers,519198,51
Helpersproduction workers,519198,51
Supervisors of transportation & material moving workers,531000,53
Supervisors of transportation & material moving workers,531000,53
Aircraft pilots & flight engineers,532010,53
Aircraft pilots & flight engineers,532010,53
Air traffic controllers & airfield operations specialists,532020,53
Air traffic controllers & airfield operations specialists,532020,53
Flight attendants,532031,53
Flight attendants,532031,53
"Ambulance drivers & attendants, except emergency medical technicians",533011,53
"Ambulance drivers & attendants, except emergency medical technicians",533011,53
Bus drivers,533020,53
Bus drivers,533020,53
Driver/sales workers & truck drivers,533030,53
Driver/sales workers & truck drivers,533030,53
Taxi drivers & chauffeurs,533041,53
Taxi drivers & chauffeurs,533041,53
"Motor vehicle operators, all other",533099,53
"Motor vehicle operators, all other",533099,53
Locomotive engineers & operators,534010,53
Locomotive engineers & operators,534010,53
Railroad conductors & yardmasters,534031,53
Railroad conductors & yardmasters,534031,53
Ship & boat captains & operators,535020,53
Ship & boat captains & operators,535020,53
Parking lot attendants,536021,53
Parking lot attendants,536021,53
Automotive & watercraft service attendants-,536031,53
Automotive & watercraft service attendants-,536031,53
Transportation inspectors,536051,53
Transportation inspectors,536051,53
