Date,Index
2016-11-01,205.12604006493
2016-12-01,206.284227183338
2017-01-01,207.49984298769797
2017-02-01,211.317572689333
2017-03-01,216.812942235843
2017-04-01,222.484383176722
2017-05-01,226.425470315376
2017-06-01,229.64259974407798
2017-07-01,231.147953531099
2017-08-01,231.56519249049305
2017-09-01,230.932073175734
2017-10-01,230.76537315156102
2017-11-01,231.189485739921
2017-12-01,232.507663833385
2018-01-01,234.14987060499803
2018-02-01,238.22598098757703
2018-03-01,244.99109374626
2018-04-01,251.56751086807998
2018-05-01,257.164552036279
2018-06-01,258.957978645141
2018-07-01,257.792278940709
2018-08-01,253.672990550824
2018-09-01,250.28534671793
2018-10-01,247.663076629799
